,"(following, count)","(following, birth mean)","(following, birth std)","(following, birth min)","(following, birth max)","(following, death mean)","(following, death std)","(followers, count)","(followers, birth mean)","(followers, birth std)","(followers, birth min)","(followers, birth max)","(followers, death mean)","(followers, death std)"
Iris_Marion_Young,2,1926.0,,1926.0,1926.0,1984.0,,0,,,,,,
William_A._Earle,3,1895.5,17.6776695297,1883.0,1908.0,1965.0,5.65685424949,0,,,,,,
Henri_Bergson,9,1535.5,544.00052521,204.0,1842.0,1599.625,544.78880246,27,1893.58823529,31.2970821794,1837.0,1956.0,1964.8125,30.8420032856
Ion_Dragoumis,12,1104.16666667,1032.78369057,-428.0,1847.0,1267.81818182,1016.50212181,0,,,,,,
Dimitris_Dimitrakos,4,1901.75,7.71902411794,1891.0,1909.0,1977.75,27.825348156,0,,,,,,
William_MacAskill,1,1946.0,,1946.0,1946.0,,,0,,,,,,
Herbert_Spiegelberg,1,1859.0,,1859.0,1859.0,1938.0,,0,,,,,,
Takis_Fotopoulos,7,1548.42857143,853.41311941,-384.0,1922.0,1619.42857143,857.692419061,0,,,,,,
Georg_Stenger,2,1889.0,,1889.0,1889.0,1976.0,,0,,,,,,
C._D._Broad,4,1809.5,118.458150135,1632.0,1873.0,1894.75,127.513071225,2,1909.0,1.41421356237,1908.0,1910.0,1991.5,3.53553390593
Jean_Gebser,4,726.5,1307.82172587,-428.0,1859.0,802.25,1313.22665599,0,,,,,,
James_D._McCawley,2,1918.0,14.1421356237,1908.0,1928.0,2000.0,,0,,,,,,
Georges_Palante,3,1812.66666667,28.5890421899,1788.0,1844.0,1872.0,24.3310501212,3,1920.66666667,35.133080328,1890.0,1959.0,1941.0,26.8700576851
Ludwig_Feuerbach,3,1760.33333333,15.0443787952,1743.0,1770.0,1828.0,7.93725393319,8,1837.5,33.3894765286,1806.0,1897.0,1902.25,36.4564319232
Gilbert_Ryle,3,1838.5,71.4177848998,1788.0,1889.0,1905.5,64.346717088,11,1922.18181818,11.4701192829,1910.0,1942.0,1996.77777778,15.9277884354
Dimitris_Liantinis,3,344.0,1299.22438401,-428.0,1844.0,410.0,1290.44333467,0,,,,,,
Ramkrishna_Bhattacharya,2,1868.0,70.7106781187,1818.0,1918.0,1938.0,77.7817459305,0,,,,,,
"Victoria,_Lady_Welby",1,1859.0,,1859.0,1859.0,1941.0,,0,,,,,,
Max_Müller_(Catholic_intellectual),2,1874.0,21.2132034356,1859.0,1889.0,1957.0,26.8700576851,0,,,,,,
Confucius,0,,,,,,,9,1251.11111111,682.213207957,-372.0,1737.0,1320.88888889,678.785025697
Arthur_Schopenhauer,9,1501.5,529.305744753,204.0,1798.0,1567.5,529.400199687,23,1901.44444444,39.1441111524,1833.0,1967.0,1959.64285714,38.6554944703
Michel_Serres,1,1884.0,,1884.0,1884.0,1962.0,,0,,,,,,
Hans_Vaihinger,6,1797.16666667,52.2395125041,1724.0,1844.0,1865.33333333,40.903137614,2,1910.5,41.71930009,1881.0,1940.0,1973.0,
Jean-Luc_Marion,7,1871.0,76.1472258195,1724.0,1930.0,1951.16666667,75.7216393554,2,1973.0,,1973.0,1973.0,,
Maurice_Blondel,2,1766.0,,1766.0,1766.0,1824.0,,0,,,,,,
"Claude_Henri_de_Rouvroy,_comte_de_Saint-Simon",5,1720.0,62.0376229934,1632.0,1772.0,1788.0,59.3014895822,5,1808.4,7.30068489938,1798.0,1818.0,1872.0,11.1355287257
Amina_Mama,7,1900.14285714,38.9847344971,1818.0,1935.0,1966.14285714,42.0215364285,0,,,,,,
Judith_Jarvis_Thomson,1,1920.0,,1920.0,1920.0,2010.0,,0,,,,,,
Patricia_Churchland,3,1853.66666667,124.717013007,1711.0,1942.0,1888.0,158.391918986,1,1942.0,,1942.0,1942.0,,
Justus_Buchler,0,,,,,,,1,1950.0,,1950.0,1950.0,,
Qadi_Thanaullah_Panipati,2,787.5,1098.13683118,11.0,1564.0,817.0,1141.27034484,0,,,,,,
Pierre_Hadot,4,1876.66666667,15.6950098227,1859.0,1889.0,1955.0,16.3707055437,1,1926.0,,1926.0,1926.0,1984.0,
J._M._E._McTaggart,2,1803.0,46.6690475583,1770.0,1836.0,1856.5,36.0624458405,3,1904.66666667,27.7908857961,1873.0,1925.0,1994.0,31.192947921
Errol_Harris,3,1756.66666667,118.563625676,1632.0,1868.0,1815.33333333,131.203404427,0,,,,,,
David_Pearce_(philosopher),2,1847.0,140.007142675,1748.0,1946.0,1832.0,,0,,,,,,
Susanna_Schellenberg,2,732.0,1578.26233561,-384.0,1848.0,801.5,1588.86893733,0,,,,,,
Adamantios_Korais,1,1689.0,,1689.0,1689.0,1755.0,,2,1784.0,0.0,1784.0,1784.0,1856.5,4.94974746831
Heinrich_Rombach,0,,,,,,,1,,,,,,
John_Gray_(philosopher),4,1851.0,62.8702367314,1788.0,1909.0,1930.0,73.5708275519,0,,,,,,
William_Crathorn,1,1287.0,,1287.0,1287.0,1347.0,,0,,,,,,
Sharon_Lloyd,2,1920.5,0.707106781187,1920.0,1921.0,2006.0,5.65685424949,0,,,,,,
Michael_J._Shapiro,3,1925.5,0.707106781187,1925.0,1926.0,1989.5,7.77817459305,0,,,,,,
Friedrich_Adolf_Trendelenburg,4,1227.75,1074.51520076,-384.0,1770.0,1291.5,1075.67668625,5,1841.25,6.99404508612,1833.0,1848.0,1919.75,7.08872343938
Ron_Polansky,2,-406.0,31.1126983722,-428.0,-384.0,-335.0,18.3847763109,0,,,,,,
Edward_Said,10,1893.8,38.2616721479,1818.0,1930.0,1957.22222222,41.6316519543,6,1949.5,6.5574385243,1942.0,1958.0,2011.0,
Richard_J._Bernstein,14,1671.08333333,664.184867246,-428.0,1931.0,1746.66666667,663.13694367,2,1953.5,9.19238815543,1947.0,1960.0,,
Chrysippus,4,-369.0,46.3752807718,-428.0,-330.0,-290.5,54.0709410559,1,55.0,,55.0,55.0,135.0,
Gila_Sher,1,1908.0,,1908.0,1908.0,2000.0,,0,,,,,,
Jorge_Ángel_Livraga_Rizzi,1,-428.0,,-428.0,-428.0,-348.0,,1,,,,,,
C._J._F._Williams,3,1883.66666667,33.3216646243,1848.0,1914.0,1948.33333333,22.1208800307,0,,,,,,
Ch'ien_Mu,1,1130.0,,1130.0,1130.0,1200.0,,0,,,,,,
Zhu_Xi,4,281.75,861.361470774,-551.0,1033.0,353.0,854.654706105,5,1772.4,115.224997288,1619.0,1895.0,1845.4,122.269374743
Karl_Leonhard_Reinhold,2,1739.0,21.2132034356,1724.0,1754.0,1802.0,2.82842712475,3,1772.66666667,25.7164020293,1754.0,1802.0,1828.66666667,38.1750354726
